Dataset,#TrainingRelease,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
OPENJPA,12,IBK,NO,NO,NO,627,124,2923,77,0.8348868175765646,0.890625,0.9232714462064027,0.8286590655130779,
OPENJPA,13,IBK,NO,NO,NO,481,157,3040,181,0.7539184952978056,0.7265861027190332,0.8310718035318232,0.6873572023697095,
OPENJPA,14,IBK,NO,NO,NO,427,21,3112,232,0.953125,0.6479514415781487,0.8206804843636709,0.7340444878135328,
OPENJPA,15,IBK,NO,NO,NO,619,44,3142,24,0.9336349924585219,0.9626749611197511,0.9739992912225824,0.9372303556171855,
OPENJPA,16,IBK,NO,NO,NO,184,453,3215,21,0.28885400313971743,0.8975609756097561,0.8871452509508737,0.3880447855525655,
OPENJPA,17,IBK,NO,NO,NO,0,176,3738,0,0.0,NaN,NaN,0.0,
OPENJPA,1,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,678,356,NaN,0.0,0.5,0.0,
OPENJPA,2,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,1,0,842,382,1.0,0.0026109660574412533,0.5013054830287206,0.0035857710472410997,
OPENJPA,3,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,859,445,NaN,0.0,0.5,0.0,
OPENJPA,4,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,919,469,NaN,0.0,0.5,0.0,
OPENJPA,5,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,1586,593,NaN,0.0,0.5,0.0,
OPENJPA,6,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,1624,594,NaN,0.0,0.5,0.0,
OPENJPA,7,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,1947,1474,NaN,0.0,0.5,0.0,
OPENJPA,8,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,1,0,842,1527,1.0,6.544502617801048E-4,0.50032722513089,4.651067729378432E-4,
OPENJPA,9,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,40,0,1026,1639,1.0,0.023823704586063133,0.5119118522930316,0.018177087081933115,
OPENJPA,10,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,2,0,3416,1853,1.0,0.001078167115902965,0.5005390835579515,0.0013970188819412528,
OPENJPA,11,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,2592,628,NaN,0.0,0.5,0.0,
OPENJPA,12,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,3047,704,NaN,0.0,0.5,0.0,
OPENJPA,13,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,3197,662,NaN,0.0,0.5,0.0,
OPENJPA,14,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,3133,659,NaN,0.0,0.5,0.0,
OPENJPA,15,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,3186,643,NaN,0.0,0.5,0.0,
OPENJPA,16,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,3668,205,NaN,0.0,0.5,0.0,
OPENJPA,17,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,3914,0,NaN,NaN,NaN,1.0,
OPENJPA,1,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,31,3,675,325,0.9117647058823529,0.08707865168539326,0.5413269364621657,0.10526260249253408,
OPENJPA,2,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,96,51,791,287,0.6530612244897959,0.2506527415143603,0.5950413351277265,0.22845142439737043,
OPENJPA,3,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,94,35,824,351,0.7286821705426356,0.21123595505617979,0.585245451334842,0.2056886218095399,
OPENJPA,4,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,73,50,869,396,0.5934959349593496,0.15565031982942432,0.5506216778690103,0.12356120862722665,
OPENJPA,5,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,144,132,1454,449,0.5217391304347826,0.24283305227655985,0.5798024025569433,0.1916824956982279,
OPENJPA,6,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,93,31,1593,501,0.75,0.15656565656565657,0.5687384933074588,0.18352739944035876,
OPENJPA,7,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,139,839,1108,1335,0.14212678936605316,0.09430122116689281,0.3316909290220699,-0.350963498165717,
OPENJPA,8,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,1485,820,22,43,0.6442516268980477,0.9718586387434555,0.49899345238835485,-0.002539053883821279,
OPENJPA,9,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,325,81,945,1354,0.8004926108374384,0.19356759976176297,0.5573101156703552,0.0923406733936978,
OPENJPA,10,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,460,1937,1479,1395,0.19190654985398414,0.24797843665768193,0.3404704829658433,-0.29909192863422723,
OPENJPA,11,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,462,1923,669,166,0.19371069182389938,0.7356687898089171,0.4968853208303845,-0.0030240221880917517,
OPENJPA,12,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,114,66,2981,590,0.6333333333333333,0.16193181818181818,0.5701355841811618,0.1965057973304982,
OPENJPA,13,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,146,236,2961,516,0.38219895287958117,0.22054380664652568,0.5733623005706823,0.176285854100507,
OPENJPA,14,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,66,25,3108,593,0.7252747252747253,0.10015174506828528,0.5460860863866801,0.1397200210567896,
OPENJPA,15,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,116,182,3004,527,0.38926174496644295,0.18040435458786935,0.5616397165280841,0.15687012576008702,
OPENJPA,16,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,75,196,3472,130,0.2767527675276753,0.36585365853658536,0.6562092720163842,0.2712016245314407,
OPENJPA,17,NAIVE BAYES,NO,NO,SENSITIVE THRESHOLD,0,111,3803,0,0.0,NaN,NaN,0.0,
OPENJPA,1,IBK,NO,NO,SENSITIVE THRESHOLD,253,19,659,103,0.9301470588235294,0.7106741573033708,0.8413252792416559,0.7231702392865295,
OPENJPA,2,IBK,NO,NO,SENSITIVE THRESHOLD,323,185,657,60,0.6358267716535433,0.8433420365535248,0.8118135360914892,0.5726827337484178,
OPENJPA,3,IBK,NO,NO,SENSITIVE THRESHOLD,398,7,852,47,0.9827160493827161,0.8943820224719101,0.9431165059973055,0.9058546694297748,
OPENJPA,4,IBK,NO,NO,SENSITIVE THRESHOLD,451,106,813,18,0.8096947935368043,0.9616204690831557,0.9231388526046899,0.8091084733957246,
OPENJPA,5,IBK,NO,NO,SENSITIVE THRESHOLD,507,197,1389,86,0.7201704545454546,0.8549747048903878,0.8653814255851687,0.6903118140194523,
OPENJPA,6,IBK,NO,NO,SENSITIVE THRESHOLD,571,37,1587,23,0.9391447368421053,0.9612794612794613,0.9692481050239671,0.9315337711165943,
OPENJPA,7,IBK,NO,NO,SENSITIVE THRESHOLD,585,81,1866,889,0.8783783783783784,0.3968792401628223,0.6776383874157716,0.3806205497564942,
OPENJPA,8,IBK,NO,NO,SENSITIVE THRESHOLD,1466,25,817,62,0.9832327297116029,0.9594240837696335,0.9648664361841042,0.920651413450815,
OPENJPA,9,IBK,NO,NO,SENSITIVE THRESHOLD,1015,215,811,664,0.8252032520325203,0.604526503871352,0.697487423475637,0.36399844322797476,
OPENJPA,10,IBK,NO,NO,SENSITIVE THRESHOLD,1573,2802,614,282,0.35954285714285716,0.8479784366576819,0.513860412708232,0.021154591896949997,
OPENJPA,11,IBK,NO,NO,SENSITIVE THRESHOLD,581,1399,1193,47,0.29343434343434344,0.9251592356687898,0.6927107906739011,0.21227972822997593,
OPENJPA,12,IBK,NO,NO,SENSITIVE THRESHOLD,627,124,2923,77,0.8348868175765646,0.890625,0.9249646168362323,0.8286590655130779,
OPENJPA,13,IBK,NO,NO,SENSITIVE THRESHOLD,481,155,3042,181,0.7562893081761006,0.7265861027190332,0.8390515749754065,0.6888290098341268,
OPENJPA,14,IBK,NO,NO,SENSITIVE THRESHOLD,427,21,3112,232,0.953125,0.6479514415781487,0.8206243004252058,0.7340444878135328,
OPENJPA,15,IBK,NO,NO,SENSITIVE THRESHOLD,619,44,3142,24,0.9336349924585219,0.9626749611197511,0.9744322702648348,0.9372303556171855,
OPENJPA,16,IBK,NO,NO,SENSITIVE THRESHOLD,184,453,3215,21,0.28885400313971743,0.8975609756097561,0.8870302151767429,0.3880447855525655,
OPENJPA,17,IBK,NO,NO,SENSITIVE THRESHOLD,0,176,3738,0,0.0,NaN,NaN,0.0,
OPENJPA,1,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,678,356,NaN,0.0,0.990336332902456,0.0,
OPENJPA,2,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,1,0,842,382,1.0,0.0026109660574412533,0.9899623549549438,0.0035857710472410997,
OPENJPA,3,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,859,445,NaN,0.0,0.9813161371335888,0.0,
OPENJPA,4,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,919,469,NaN,0.0,0.9897288004250472,0.0,
OPENJPA,5,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,1586,593,NaN,0.0,0.9399626580811442,0.0,
OPENJPA,6,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,1624,594,NaN,0.0,0.997139913088189,0.0,
OPENJPA,7,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,1947,1474,NaN,0.0,0.48343169988410656,0.0,
OPENJPA,8,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,1,0,842,1527,1.0,6.544502617801048E-4,0.9814663105793984,4.651067729378432E-4,
OPENJPA,9,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,43,0,1026,1636,1.0,0.02561048243001787,0.9270044942280923,0.019548849525524475,
OPENJPA,10,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,4,0,3416,1851,1.0,0.00215633423180593,0.7490908488356679,0.0027931462030312748,
OPENJPA,11,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,2592,628,NaN,0.0,0.6837995522725485,0.0,
OPENJPA,12,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,3047,704,NaN,0.0,0.9741017617925232,0.0,
OPENJPA,13,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,3197,662,NaN,0.0,0.9513705730542323,0.0,
OPENJPA,14,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,3133,659,NaN,0.0,0.9963204363748379,0.0,
OPENJPA,15,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,3186,643,NaN,0.0,0.9989749086936529,0.0,
OPENJPA,16,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,3668,205,NaN,0.0,0.9482884272681331,0.0,
OPENJPA,17,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,0,0,3914,0,NaN,NaN,NaN,1.0,
OPENJPA,1,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,31,3,675,325,0.9117647058823529,0.08707865168539326,0.7343371946571211,0.10526260249253408,
OPENJPA,2,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,92,52,790,291,0.6388888888888888,0.2402088772845953,0.7825207916002556,0.2150237916868277,
OPENJPA,3,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,94,35,824,351,0.7286821705426356,0.21123595505617979,0.8387280741913121,0.2056886218095399,
OPENJPA,4,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,73,50,869,396,0.5934959349593496,0.15565031982942432,0.8056232903568586,0.12356120862722665,
OPENJPA,5,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,143,138,1448,450,0.5088967971530249,0.2411467116357504,0.6860073067672658,0.18452882546875599,
OPENJPA,6,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,92,29,1595,502,0.7603305785123967,0.15488215488215487,0.9428189945431324,0.18331597465401686,
OPENJPA,7,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,140,869,1078,1334,0.13875123885034688,0.09497964721845319,0.3059295551936354,-0.3653480164447661,
OPENJPA,8,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,1485,820,22,43,0.6442516268980477,0.9718586387434555,0.942718891072117,-0.002539053883821279,
OPENJPA,9,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,328,75,951,1351,0.8138957816377171,0.1953543776057177,0.7919762180913869,0.0984462909742959,
OPENJPA,10,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,450,1936,1480,1405,0.18860016764459347,0.24258760107816713,0.3235954790205597,-0.30425741604122175,
OPENJPA,11,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,458,1887,705,170,0.1953091684434968,0.7292993630573248,0.5480505302940946,6.337001753237088E-4,
OPENJPA,12,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,112,66,2981,592,0.6292134831460674,0.1590909090909091,0.8601633126473133,0.19282101461266685,
OPENJPA,13,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,144,236,2961,518,0.37894736842105264,0.2175226586102719,0.7277014327064554,0.17290484991577532,
OPENJPA,14,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,66,25,3108,593,0.7252747252747253,0.10015174506828528,0.9450288596549434,0.1397200210567896,
OPENJPA,15,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,108,182,3004,535,0.3724137931034483,0.16796267496111975,0.9156449923313408,0.14193517334022604,
OPENJPA,16,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,74,195,3473,131,0.275092936802974,0.36097560975609755,0.8990790488602814,0.2682763145083895,
OPENJPA,17,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,0,110,3804,0,0.0,NaN,NaN,0.0,
OPENJPA,1,IBK,NO,NO,SENSITIVE LEARNING,253,19,659,103,0.9301470588235294,0.7106741573033708,0.8403910211792781,0.7231702392865295,
OPENJPA,2,IBK,NO,NO,SENSITIVE LEARNING,323,185,657,60,0.6358267716535433,0.8433420365535248,0.8133950000930273,0.5726827337484178,
OPENJPA,3,IBK,NO,NO,SENSITIVE LEARNING,398,7,852,47,0.9827160493827161,0.8943820224719101,0.9349491831369112,0.9058546694297748,
OPENJPA,4,IBK,NO,NO,SENSITIVE LEARNING,451,106,813,18,0.8096947935368043,0.9616204690831557,0.9226957084621971,0.8091084733957246,
OPENJPA,5,IBK,NO,NO,SENSITIVE LEARNING,507,197,1389,86,0.7201704545454546,0.8549747048903878,0.8622378782304694,0.6903118140194523,
OPENJPA,6,IBK,NO,NO,SENSITIVE LEARNING,571,37,1587,23,0.9391447368421053,0.9612794612794613,0.9685012066477584,0.9315337711165943,
OPENJPA,7,IBK,NO,NO,SENSITIVE LEARNING,585,81,1866,889,0.8783783783783784,0.3968792401628223,0.6830304284711755,0.3806205497564942,
OPENJPA,8,IBK,NO,NO,SENSITIVE LEARNING,1466,25,817,62,0.9832327297116029,0.9594240837696335,0.9620325577346382,0.920651413450815,
OPENJPA,9,IBK,NO,NO,SENSITIVE LEARNING,1015,215,811,664,0.8252032520325203,0.604526503871352,0.6937109831689939,0.36399844322797476,
OPENJPA,10,IBK,NO,NO,SENSITIVE LEARNING,1573,2802,614,282,0.35954285714285716,0.8479784366576819,0.5219401169066451,0.021154591896949997,
OPENJPA,11,IBK,NO,NO,SENSITIVE LEARNING,581,1399,1193,47,0.29343434343434344,0.9251592356687898,0.685656994574192,0.21227972822997593,
OPENJPA,12,IBK,NO,NO,SENSITIVE LEARNING,627,124,2923,77,0.8348868175765646,0.890625,0.9232714462064027,0.8286590655130779,
OPENJPA,13,IBK,NO,NO,SENSITIVE LEARNING,481,155,3042,181,0.7562893081761006,0.7265861027190332,0.8310718035318232,0.6888290098341268,
OPENJPA,14,IBK,NO,NO,SENSITIVE LEARNING,427,21,3112,232,0.953125,0.6479514415781487,0.8206804843636709,0.7340444878135328,
OPENJPA,15,IBK,NO,NO,SENSITIVE LEARNING,619,44,3142,24,0.9336349924585219,0.9626749611197511,0.9739992912225824,0.9372303556171855,
OPENJPA,16,IBK,NO,NO,SENSITIVE LEARNING,184,453,3215,21,0.28885400313971743,0.8975609756097561,0.8871452509508737,0.3880447855525655,
OPENJPA,17,IBK,NO,NO,SENSITIVE LEARNING,0,176,3738,0,0.0,NaN,NaN,0.0,
OPENJPA,1,RANDOM FOREST,UNDERSAMPLING,NO,NO,131,44,634,225,0.7485714285714286,0.36797752808988765,0.9405285704815883,0.34469695184872806,
OPENJPA,2,RANDOM FOREST,UNDERSAMPLING,NO,NO,383,422,420,0,0.47577639751552797,1.0,0.9924725414436596,0.3836073783490526,
OPENJPA,3,RANDOM FOREST,UNDERSAMPLING,NO,NO,403,82,777,42,0.8309278350515464,0.9056179775280899,0.9495140678342991,0.7929814229198406,
OPENJPA,4,RANDOM FOREST,UNDERSAMPLING,NO,NO,326,35,884,143,0.9030470914127424,0.6950959488272921,0.9763091893246344,0.6962658988815152,
OPENJPA,5,RANDOM FOREST,UNDERSAMPLING,NO,NO,549,341,1245,44,0.6168539325842697,0.9258010118043845,0.9431274707654881,0.614454503549538,
OPENJPA,6,RANDOM FOREST,UNDERSAMPLING,NO,NO,588,226,1398,6,0.7223587223587223,0.98989898989899,0.9934458501268846,0.7613186438036431,
OPENJPA,7,RANDOM FOREST,UNDERSAMPLING,NO,NO,713,1286,661,761,0.3566783391695848,0.4837177747625509,0.5119822166656561,-0.16945428760900197,
OPENJPA,8,RANDOM FOREST,UNDERSAMPLING,NO,NO,1477,231,611,51,0.8647540983606558,0.9666230366492147,0.9722177314049073,0.7271716376723089,
OPENJPA,9,RANDOM FOREST,UNDERSAMPLING,NO,NO,1088,126,900,591,0.8962108731466227,0.6480047647409172,0.9213208224054279,0.4826595585487468,
OPENJPA,10,RANDOM FOREST,UNDERSAMPLING,NO,NO,1383,2411,1005,472,0.36452293094359517,0.7455525606469002,0.6857573682117449,0.03209181778581706,
OPENJPA,11,RANDOM FOREST,UNDERSAMPLING,NO,NO,587,2005,587,41,0.22646604938271606,0.9347133757961783,0.7191763485885035,0.07377185622411725,
OPENJPA,12,RANDOM FOREST,UNDERSAMPLING,NO,NO,678,630,2417,26,0.518348623853211,0.9630681818181818,0.9759711489691798,0.5687106202811817,
OPENJPA,13,RANDOM FOREST,UNDERSAMPLING,NO,NO,579,1309,1888,83,0.3066737288135593,0.8746223564954683,0.8964810287590235,0.26823052396094227,
OPENJPA,14,RANDOM FOREST,UNDERSAMPLING,NO,NO,656,659,2474,3,0.4988593155893536,0.9954476479514416,0.9974111797319348,0.5635952476236206,
OPENJPA,15,RANDOM FOREST,UNDERSAMPLING,NO,NO,642,551,2635,1,0.5381391450125733,0.9984447900466563,0.9980171805302944,0.6154171714418488,
OPENJPA,16,RANDOM FOREST,UNDERSAMPLING,NO,NO,201,1143,2525,4,0.14955357142857142,0.9804878048780488,0.9313914674043142,0.18462963340251165,
OPENJPA,17,RANDOM FOREST,UNDERSAMPLING,NO,NO,0,1029,2885,0,0.0,NaN,NaN,0.0,
OPENJPA,1,NAIVE BAYES,UNDERSAMPLING,NO,NO,55,8,670,301,0.873015873015873,0.1544943820224719,0.8031926353120546,0.17735781044826093,
OPENJPA,2,NAIVE BAYES,UNDERSAMPLING,NO,NO,119,67,775,264,0.6397849462365591,0.31070496083550914,0.8035573637305186,0.26882024852627984,
OPENJPA,3,NAIVE BAYES,UNDERSAMPLING,NO,NO,109,48,811,336,0.6942675159235668,0.2449438202247191,0.8447162234633948,0.22399957847625376,
OPENJPA,4,NAIVE BAYES,UNDERSAMPLING,NO,NO,98,56,863,371,0.6363636363636364,0.208955223880597,0.7945922493857466,0.1771497434302596,
OPENJPA,5,NAIVE BAYES,UNDERSAMPLING,NO,NO,219,416,1170,374,0.34488188976377954,0.36930860033726814,0.6774331258546005,0.10469225080121618,
OPENJPA,6,NAIVE BAYES,UNDERSAMPLING,NO,NO,150,58,1566,444,0.7211538461538461,0.25252525252525254,0.9373025202766582,0.27308693687929714,
OPENJPA,7,NAIVE BAYES,UNDERSAMPLING,NO,NO,207,1186,761,1267,0.14860014357501794,0.14043419267299864,0.3069686237533442,-0.47185773847076956,
OPENJPA,8,NAIVE BAYES,UNDERSAMPLING,NO,NO,1492,826,16,36,0.6436583261432269,0.9764397905759162,0.9432909521085424,-0.0057738926315913,
OPENJPA,9,NAIVE BAYES,UNDERSAMPLING,NO,NO,1102,211,815,577,0.8392993145468393,0.6563430613460393,0.7875382984627209,0.42145413545997545,
OPENJPA,10,NAIVE BAYES,UNDERSAMPLING,NO,NO,406,2267,1149,1449,0.15188926300037411,0.2188679245283019,0.31385851897208,-0.4040626345405225,
OPENJPA,11,NAIVE BAYES,UNDERSAMPLING,NO,NO,486,2120,472,142,0.18649270913277052,0.7738853503184714,0.552527804808524,-0.020068500901357176,
OPENJPA,12,NAIVE BAYES,UNDERSAMPLING,NO,NO,122,95,2952,582,0.5622119815668203,0.17329545454545456,0.7345789543366052,0.19361126150514343,
